BikeID,Duration,Start date,End date,Start station number,,End station number,End station,Bike number,Member type
528737,785,01/01/2018 05:40,01/01/2018 05:53,31223,Convention Center / 7th & M St NW,31632,15th & F St NE,W20050,Casual
528738,239,01/01/2018 05:44,01/01/2018 05:48,31636,New Jersey Ave & N St NW/Dunbar HS,31600,5th & K St NW,W23372,Member
528739,1135,01/01/2018 05:51,01/01/2018 06:10,31400,Georgia & New Hampshire Ave NW,31275,New Hampshire Ave & 24th St NW,W00886,Member
528740,1250,01/01/2018 06:07,01/01/2018 06:28,31309,Fessenden St & Wisconsin Ave NW,31307,3000 Connecticut Ave NW / National Zoo,W20386,Member
528741,527,01/01/2018 06:22,01/01/2018 06:31,31267,17th St & Massachusetts Ave NW,31275,New Hampshire Ave & 24th St NW,W21093,Member
528742,425,01/01/2018 06:26,01/01/2018 06:33,31307,3000 Connecticut Ave NW / National Zoo,31300,Van Ness Metro / UDC,W22397,Member
528743,861,01/01/2018 06:32,01/01/2018 06:47,31512,Neal St & Trinidad Ave NE,31600,5th & K St NW,W21707,Member
528744,551,01/01/2018 06:33,01/01/2018 06:42,31203,14th & Rhode Island Ave NW,31257,22nd & I St NW / Foggy Bottom,W22742,Member
528745,554,01/01/2018 06:33,01/01/2018 06:43,31203,14th & Rhode Island Ave NW,31257,22nd & I St NW / Foggy Bottom,W20973,Member
528746,419,01/01/2018 06:41,01/01/2018 06:48,31623,Columbus Circle / Union Station,31632,15th & F St NE,W22697,Member
528747,413,01/01/2018 06:50,01/01/2018 06:57,31600,5th & K St NW,31291,Vermont Ave & I St NW,W22918,Member
528748,689,01/01/2018 06:56,01/01/2018 07:07,31631,8th & F St NE,31209,1st & N St  SE,W21887,Member
528749,603,01/01/2018 07:11,01/01/2018 07:21,31266,11th & M St NW,31624,North Capitol St & F St NW,W00246,Member
528750,260,01/01/2018 07:16,01/01/2018 07:20,31285,22nd & P ST NW,31275,New Hampshire Ave & 24th St NW,W22596,Member
528751,691,01/01/2018 07:21,01/01/2018 07:32,31307,3000 Connecticut Ave NW / National Zoo,31103,16th & Harvard St NW,W21520,Member
528752,1629,01/01/2018 07:22,01/01/2018 07:49,31230,Metro Center / 12th & G St NW,31230,Metro Center / 12th & G St NW,W23197,Casual
528753,279,01/01/2018 07:25,01/01/2018 07:30,31506,1st & Rhode Island Ave NW,31506,1st & Rhode Island Ave NW,W23311,Member
528754,440,01/01/2018 07:29,01/01/2018 07:36,31123,14th & Girard St NW,31201,15th & P St NW,W20040,Member
528755,129,01/01/2018 07:31,01/01/2018 07:34,31237,25th St & Pennsylvania Ave NW,31128,23rd & M St NW,W21043,Member
528756,1282,01/01/2018 07:33,01/01/2018 07:54,31053,Columbia Pike & S Courthouse Rd,31235,19th St & Constitution Ave NW,W21982,Member
528757,538,01/01/2018 07:50,01/01/2018 07:59,31113,Columbia Rd & Belmont St NW,31280,11th & S St NW,W23247,Member
528758,332,01/01/2018 07:54,01/01/2018 08:00,31235,19th St & Constitution Ave NW,31231,14th & D St NW / Ronald Reagan Building,W21982,Member
528759,1156,01/01/2018 07:55,01/01/2018 08:14,31507,1st & Washington Hospital Center NW,31611,13th & H St NE,W23359,Member
528760,1088,01/01/2018 08:05,01/01/2018 08:23,31619,Lincoln Park / 13th & East Capitol St NE,31227,13th St & New York Ave NW,W23377,Member
528761,229,01/01/2018 08:11,01/01/2018 08:15,31116,California St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00661,Member
528762,7797,01/01/2018 08:14,01/01/2018 10:24,31297,Virginia Ave & 25th St NW,31225,C & O Canal & Wisconsin Ave NW,W22725,Member
528763,322,01/01/2018 08:20,01/01/2018 08:25,31278,18th & R St NW,31250,20th & L St NW,W20946,Member
528764,1129,01/01/2018 08:21,01/01/2018 08:40,31519,1st & O St NW,31275,New Hampshire Ave & 24th St NW,W00454,Member
528765,629,01/01/2018 08:31,01/01/2018 08:42,31201,15th & P St NW,31246,M St & Pennsylvania Ave NW,W23394,Member
528766,958,01/01/2018 08:32,01/01/2018 08:48,31628,1st & K St SE,31227,13th St & New York Ave NW,W21360,Member
528767,263,01/01/2018 08:37,01/01/2018 08:41,31274,10th & G St NW,31604,3rd & H St NW,W20711,Member
528768,391,01/01/2018 08:37,01/01/2018 08:43,31622,13th & D St NE,31612,D St & Maryland Ave NE,W23326,Member
528769,1205,01/01/2018 08:37,01/01/2018 08:57,31405,Georgia Ave & Emerson St NW,31407,14th St & Colorado Ave NW,W21654,Member
528770,762,01/01/2018 08:48,01/01/2018 09:01,31513,Rhode Island Ave & V St NE,31221,18th & M St NW,W22171,Member
528771,331,01/01/2018 08:49,01/01/2018 08:55,31280,11th & S St NW,31278,18th & R St NW,W23247,Member
528772,219,01/01/2018 08:53,01/01/2018 08:57,31239,Rhode Island & Connecticut Ave NW,31241,Thomas Circle,W00085,Member
528773,272,01/01/2018 08:53,01/01/2018 08:58,31400,Georgia & New Hampshire Ave NW,31115,Columbia Rd & Georgia Ave NW,W22703,Member
528774,350,01/01/2018 08:55,01/01/2018 09:00,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31619,Lincoln Park / 13th & East Capitol St NE,W20248,Member
528775,1454,01/01/2018 08:57,01/01/2018 09:21,31241,Thomas Circle,31617,Bladensburg Rd & Benning Rd NE,W00085,Member
528776,110,01/01/2018 08:58,01/01/2018 09:00,31229,New Hampshire Ave & T St NW,31214,17th & Corcoran St NW,W01271,Member
